CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
41,8700216171403,ALWAYS ULTRA LONG PLUS 36T,4.00,0.11,7683316.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
41,8700216171489,ALWAYS ULTRA NIGHT 32T,4.00,0.13,7683317.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
42,8590421070512,EMMA ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500GR,0.98,1.96,7685010.jpg,1,Προϊόντα Βρώμης,kg,diabetes,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
43,5201109002703,KARAVAKI ΣΑΜΠ.ΘΡΕΨΗ&ΕΝΥΔ.ΑΝΤΛ.600ML,2.67,4.45,7617092.jpg,0,Σαμπουάν,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
44,5202336134403,CARE ΣΑΠΟΥΝΙ 3X125G,1.05,2.80,7614235.jpg,1,Σαπούνι Στερεό,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263083501,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ MEDIUM N2 15T,7.48,0.50,7124225.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263083518,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ LARGE N3 12T,7.48,0.62,7124226.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263083631,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ EXTR.LARGE N4 10T,7.48,0.75,7113562.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263086601,SANI PANTS SMALL NO1 14T,6.45,0.46,7128027.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263086618,SANI PANTS MEDIUM NO2 14T,7.67,0.55,7128016.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,5201263086625,SANI PANTS LARGE NO3 14T,8.99,0.64,7127978.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,7322540593143,TENA LADY MAXI INSTA-DRY 12T,4.49,0.37,7133541.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,7322541096667,TENA LADY MAXI NIGHT 12ΤΕΜ.,4.58,0.38,7117368.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
45,7322541132136,TENA LADY EXTRA 20T,4.88,0.24,7226107.jpg,0,Πάνες Ακράτειας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263082573,BABYLINO SENS.ECONOMY N3 4 9KG 56T,9.99,0.18,7633002.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263082580,BABYLINO SENS.ECONOMY N4 8 13KG 50T,9.99,0.20,7633012.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263082597,BABYLINO SENS.ECO.N4+ 10 15KG 46T,9.99,0.22,7632966.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263082603,BABYLINO SENS ECO.N5 11 16 KG 44T  ,9.99,0.23,7633006.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
46,5201263082627,BABYLINO SENS.ECONOMY N2 3 6KG 50T,5.99,0.12,7633000.jpg,0,Πάνες για Μωρά,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
